Drug_ID	Drug	Y	Species
"CHEMBL1017"	"CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1"	98.25	"Canis lupus familiaris"
"CHEMBL2337981"	"CC(C)(C)NC(=O)NCCN1CCC(CO)(CNC(=O)c2cc(Cl)cc(Cl)c2)CC1"	82.05	"Canis lupus familiaris"
"CHEMBL401158"	"CCCCNc1nc(SCCC)nc2c1nnn2[C@@H]1C[C@H](CO)[C@@H](O)[C@H]1O"	95.33	"Canis lupus familiaris"
"CHEMBL2337980"	"CC(C)(C)NC(=O)NCCN1CCC(O)(CNC(=O)c2cc(Cl)cc(Cl)c2)CC1"	64.01	"Canis lupus familiaris"
"CHEMBL914"	"CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1"	84.9	"Canis lupus familiaris"
"CHEMBL126"	"CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1"	52.3	"Canis lupus familiaris"
"CHEMBL30054"	"O=C(Cn1c(Cl)cnc(NCC(F)(F)c2ccccn2)c1=O)NCc1ncccc1F"	60.77	"Canis lupus familiaris"
"CHEMBL213029"	"COc1ccc2c(c1)c(CC(=O)O)c(C)n2-c1ccnc2cc(Cl)ccc12"	98.17	"Canis lupus familiaris"
"CHEMBL2312928"	"CCCNC(c1cccnc1)P(=O)(c1ccccc1)c1ccccc1"	80.29	"Canis lupus familiaris"
"CHEMBL521096"	"CCOc1cc2ncc(C(N)=O)c(Nc3ccc(C)cc3F)c2cc1N1CCN(C)CC1"	81.71	"Canis lupus familiaris"
"CHEMBL439871"	"CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3CC(C)(O)C3)c(Cc3ccccc3C(F)(F)F)sc21"	83.04	"Canis lupus familiaris"
"CHEMBL222333"	"CCNC(=O)Nc1nc2cc(-c3cccnc3)cc(-c3ncccc3F)c2[nH]1"	96.0	"Canis lupus familiaris"
"CHEMBL2165189"	"C[C@H]1CN(c2cc(N(CCO)Cc3cccc4ccccc34)[nH]c(=O)n2)CCO1"	70.1	"Canis lupus familiaris"
"CHEMBL2165054"	"CO[C@H]1CN(CCn2c(=O)ccc3ccc(C#N)cc32)CC[C@H]1NCc1cc2c(cn1)OCCO2"	43.14	"Canis lupus familiaris"
"CHEMBL209689"	"Cc1ccc2c(c1)c(-c1ccnc3c(C)cccc13)c(C)n2CC(=O)O"	99.48	"Canis lupus familiaris"
"CHEMBL2349334"	"CC[C@H](CO)Nc1nc(SCc2ccccc2)nc2[nH]c(=O)sc12"	99.47	"Canis lupus familiaris"
"CHEMBL81"	"O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12"	99.43	"Canis lupus familiaris"
"CHEMBL1144"	"CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21"	39.23	"Canis lupus familiaris"
"CHEMBL498"	"CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1"	85.77	"Canis lupus familiaris"
"CHEMBL95804"	"CCN(CC)CCNC(=O)c1ccc(NS(C)(=O)=O)cc1"	10.09	"Canis lupus familiaris"
"CHEMBL2111112"	"COc1ccc(CCO[C@@H]2CCCC[C@H]2N2CC[C@@H](O)C2)cc1OC"	22.79	"Canis lupus familiaris"
"CHEMBL384536"	"CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3C[C@H](O)CO3)c(Cc3c[nH]c4ncccc34)sc21"	62.94	"Canis lupus familiaris"
"CHEMBL455920"	"CC(C)Oc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)ncc2Cl)n[nH]1"	79.55	"Canis lupus familiaris"
"CHEMBL378730"	"Cc1ccc2c(c1)c(-c1ccnc3c(Cl)cccc13)c(C)n2CC(=O)O"	99.59	"Canis lupus familiaris"
"CHEMBL1689128"	"C[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1C(=O)Cc1ccc(Cl)cc1"	97.38	"Canis lupus familiaris"
"CHEMBL1934426"	"Cc1nn(C2CCOCC2)c(NS(=O)(=O)c2ccc(C3CC3)cc2)c1C(=O)N[C@@H](C)C(C)(C)C"	89.27	"Canis lupus familiaris"
"CHEMBL1916282"	"Cc1ccc(S(=O)(=O)Nc2c(C(=O)N[C@@H](C)C(C)(C)C)c(C)nn2-c2ccccc2)cc1"	96.79	"Canis lupus familiaris"
"CHEMBL2062774"	"CCOc1noc2cc(OCCC3CCN(c4ccc(C)nn4)CC3)ccc12"	99.69	"Canis lupus familiaris"
"CHEMBL1922660"	"CCOc1ccc(-c2ccc(Cn3c(CC(C)(C)C(=O)O)c(SC(C)(C)C)c4cc(OCc5ccc(C)cn5)ccc43)cc2)cn1"	99.92	"Canis lupus familiaris"
"CHEMBL1069"	"CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)[C@H](C(=O)O)C(C)C"	98.64	"Canis lupus familiaris"
"CHEMBL403225"	"C[C@H](CO)Nc1nc(SCc2cccc(Cl)c2F)nc2[nH]c(=O)sc12"	99.95	"Canis lupus familiaris"
"CHEMBL2325014"	"Nc1[nH]ncc1-c1cc(Cl)ccc1Oc1cc(F)c(S(=O)(=O)Nc2cscn2)cc1Cl"	99.52	"Canis lupus familiaris"
"CHEMBL190"	"Cn1c(=O)c2nc[nH]c2n(C)c1=O"	14.81	"Canis lupus familiaris"
"CHEMBL1484"	"COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1"	99.6	"Canis lupus familiaris"
"CHEMBL1818295"	"CC(C)(C)OC(=O)NC[C@H]1CC[C@H](CNC(=O)c2cc(N3CCC(CCO)CC3)nc3ccccc23)CC1"	99.16	"Canis lupus familiaris"
"CHEMBL1473"	"CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C"	98.84	"Canis lupus familiaris"
